seed	embed_type	enc_lang	dec_lang	precision	recall	acc	fscore	mae	stitched	CKA_pre	CKA_post
0	absolute	en	en	0.5965132731560723	0.5894	0.5894	0.5848354871452315	0.4892	False	1.0	-1.0
0	absolute	en	fr	0.2159670271063334	0.227	0.227	0.21791775382751774	1.2196	True	0.03666349145923282	-1.0
0	absolute	fr	en	0.2693892502301095	0.3198	0.3198	0.28125613005552846	1.0476	True	0.03666349145923282	-1.0
0	absolute	fr	fr	0.5244148346706975	0.483	0.483	0.49033455301998385	0.6188	False	1.0	-1.0
0	relative	en	en	0.609127756018038	0.611	0.611	0.6029369112331259	0.4552	False	1.0	1.0
0	relative	en	fr	0.6093105363630835	0.6006	0.6006	0.5910269166248676	0.464	True	0.013663516325815934	0.007053015239943938
0	relative	fr	en	0.5345800228411343	0.4842	0.4842	0.48878645651999325	0.5952	True	0.013663516325815934	0.007053015239943938
0	relative	fr	fr	0.5346471469010754	0.4916	0.4916	0.4992969761163666	0.588	False	1.0	1.0
1	absolute	en	en	0.6076746925036156	0.5922	0.5922	0.5967891124750608	0.4802	False	1.0	-1.0
1	absolute	en	fr	0.30712998165279964	0.3138	0.3138	0.2991986355633002	1.0812	True	0.021327276255207785	-1.0
1	absolute	fr	en	0.36117597249132755	0.3814	0.3814	0.34659380466303236	0.9874	True	0.03666349145923282	-1.0
1	absolute	fr	fr	0.5048316233006117	0.4918	0.4918	0.48951364248660684	0.6318	False	1.0	-1.0
1	relative	en	en	0.6182613352993496	0.615	0.615	0.613855850481132	0.4422	False	1.0	1.0
1	relative	en	fr	0.6264904983020967	0.6168	0.6168	0.6140342386566969	0.4376	True	0.0023106961207816448	0.0033207838220676703
1	relative	fr	en	0.5152317095283555	0.4854	0.4854	0.48593580730453106	0.59	True	0.013663516325815934	0.007053015239943938
1	relative	fr	fr	0.5290589011681384	0.4958	0.4958	0.5020235549384683	0.5768	False	1.0	1.0
2	absolute	en	en	0.608766284179666	0.6002	0.6002	0.5939540544804222	0.4834	False	1.0	-1.0
2	absolute	en	fr	0.12166015136386632	0.124	0.124	0.11659014839279307	1.9054	True	0.023640299548306543	-1.0
2	absolute	fr	en	0.09678682584036671	0.1218	0.1218	0.09584136706622805	2.0316	True	0.03666349145923282	-1.0
2	absolute	fr	fr	0.5234962107074093	0.5094	0.5094	0.5129276064690182	0.6	False	1.0	-1.0
2	relative	en	en	0.6203609837131349	0.6068	0.6068	0.6033605270613596	0.4508	False	1.0	1.0
2	relative	en	fr	0.6171775615879049	0.5984	0.5984	0.5929949600046721	0.4796	True	0.015732349219690404	0.012192495395787303
2	relative	fr	en	0.5457963451534044	0.506	0.506	0.5080685782519683	0.561	True	0.013663516325815934	0.007053015239943938
2	relative	fr	fr	0.5332620340167017	0.5056	0.5056	0.5104066446980836	0.5656	False	1.0	1.0
3	absolute	en	en	0.6140483183049004	0.5902	0.5902	0.5888594654494432	0.4836	False	1.0	-1.0
3	absolute	en	fr	0.17977153009689303	0.2526	0.2526	0.1937813093371215	1.3352	True	0.027632977775395046	-1.0
3	absolute	fr	en	0.18996739815383343	0.1476	0.1476	0.1488958534841093	1.5878	True	0.03666349145923282	-1.0
3	absolute	fr	fr	0.5001619175428219	0.4924	0.4924	0.4933616597107568	0.6366	False	1.0	-1.0
3	relative	en	en	0.620293459546656	0.609	0.609	0.6113632670098609	0.447	False	1.0	1.0
3	relative	en	fr	0.6216571189042915	0.6044	0.6044	0.6042611801747209	0.4492	True	-0.013446912179759107	-0.01347615756316474
3	relative	fr	en	0.5284918622310156	0.4916	0.4916	0.4864767341073419	0.5864	True	0.013663516325815934	0.007053015239943938
3	relative	fr	fr	0.5254888699442434	0.495	0.495	0.49867356687910913	0.5796	False	1.0	1.0
4	absolute	en	en	0.5978208087704799	0.594	0.594	0.5836754024780163	0.4906	False	1.0	-1.0
4	absolute	en	fr	0.2469074486752595	0.2704	0.2704	0.21895008580235872	1.3246	True	0.024288019671927338	-1.0
4	absolute	fr	en	0.2806761644297057	0.2538	0.2538	0.21285398206272835	1.2762	True	0.03666349145923282	-1.0
4	absolute	fr	fr	0.4847654423876533	0.4952	0.4952	0.47454131688857476	0.6552	False	1.0	-1.0
4	relative	en	en	0.6104984780884135	0.6072	0.6072	0.6082424972096039	0.4464	False	1.0	1.0
4	relative	en	fr	0.6162523463548882	0.6112	0.6112	0.6095275865752182	0.4404	True	-0.005196722260589618	-0.0052353293772418544
4	relative	fr	en	0.5349677391853069	0.5116	0.5116	0.516444591302311	0.5582	True	0.013663516325815934	0.007053015239943938
4	relative	fr	fr	0.5225759013403026	0.5104	0.5104	0.5146483585712571	0.5634	False	1.0	1.0
